"","826.W13","826.W14","827.W13","827.W14","828.W13","828.W14","829.W13","829.W14","830.W13","831.W13","832.W13","818.W13","819.W13","819.W14","820.W13","821.W13","823.W13","824.W13","825.W13","834.W13","834.W14","835.W13","836.W13","837.W13","838.W13","839.W13","840.W13","841.W13"
"Actinobacteria",0,917.804798314534,0,840.611030833095,25.8704849139752,1767.14635379151,0,602.304283362065,14.0264630832854,72.9785268766834,47.2635086805367,21.3561658289303,5.04602708521912,500.060645813956,0,0,11.8505736518416,15.3121741178785,2.50639415689492,0,459.144586432409,1.41184797418689,25.8624599484555,0,0,0,0,20.9391079119468
"Bacteroidetes",5486.42102814388,848.017797521032,1034.85431303671,1429.52747975977,1109.55635297716,7127.11865401401,2076.36375107992,1056.32088601797,2252.91714190103,1685.26338917082,2058.64805423292,1943.01560588027,2215.20589041119,2253.29746652055,2261.98781510852,2253.29746652055,1236.90362491097,12186.5765760665,2244.72660691509,941.963578389784,1003.41148383262,3143.24420653142,2400.50650976119,5602.091931288,3668.20128391112,2566.09082782252,3394.31471038929,2252.91714190103
"Firmicutes",13985.9251722846,32971.1857385297,13819.8057589187,48955.8179991577,21459.5672361424,56116.6522726883,9439.40429057849,30944.5267527933,11127.6607127398,14917.3514752747,10530.0948998932,11841.5984675894,12370.8400021232,19031.5419577219,12910.2791579897,12158.0048401803,12471.2474468568,11994.2173887107,11648.7174835848,23602.4997657358,66697.1998392292,7982.5884460527,11198.4451576812,10793.7272127736,12666.1900768713,9647.2178500533,6345.63375228074,4859.83607693841
"Proteobacteria",91.9346226337623,90.9345767915321,82.7641803187559,127.06910931198,0,61.3205359359829,158.38456388116,95.1970295891409,90.8380466346102,104.061973509345,133.197160826967,199.324214403349,216.979164664422,76.6221957295578,247.710481193441,159.534711882297,99.2485543341736,194.273209120583,196.501301900562,441.848895017889,443.667802620081,228.248755826881,845.232213769978,343.650554456991,966.988704793403,209.212311359267,223.731425854788,750.536149218844
"Tenericutes",431.499599781045,590.017370345057,474.836830149942,3108.30590470842,436.923745213803,331.688353471907,467.260773177641,120.82699909391,708.670349112658,975.749933425286,356.624656407686,314.014734595752,329.000965956287,443.602185802703,681.203823281962,131.902882700069,168.376900636583,179.918045885072,331.846586372888,305.895388858538,291.479428465518,73.8867106491141,72.8851144001928,296.084614571031,238.34228639274,162.926401766509,331.688353471908,391.299579104506
"Verrucomicrobia",1988.45691857863,1486.67459266156,9756.50738794093,8591.82669886385,2081.13678641311,3701.53053286297,16100.5012811818,9547.16364052635,15463.1736591019,5562.58549304498,15527.6738575341,12065.8382087932,10443.2576555695,8065.49428732187,6518.69687351159,17381.4632661565,14119.4647322671,10174.9397013302,12040.7175297232,9341.9480660925,8852.72034065185,22799.9329351441,19020.6637257277,11983.4101586853,29642.9706476456,9797.18419713383,11684.6622208488,14179.0477919992
"Bacteroidia",5486.42102814388,848.017797521032,1034.85431303671,1429.52747975977,1109.55635297716,7127.11865401401,2076.36375107992,1056.32088601797,2252.91714190103,1685.26338917082,2043.07257978138,1943.01560588027,2215.20589041119,2253.29746652055,2261.98781510852,2253.29746652055,1236.90362491097,12186.5765760665,2244.72660691509,941.963578389784,1003.41148383262,3143.24420653142,2400.50650976119,5602.091931288,3668.20128391112,2566.09082782252,3394.31471038929,2252.91714190103
"Bacilli",131.970667974272,2937.39830612647,27.185314703241,9354.24135473572,651.073870335042,9278.91200594941,165.22509321822,1609.19594247798,189.691215031098,14.8659962156207,78.4144575836178,148.306707145349,220.006780915554,6383.83872841526,0,113.134093066858,54.8089031397675,89.959022942536,11.5294131217167,403.005036115217,10547.4281681018,243.779083542937,65.8317162324322,121.319869147336,488.034205470849,30.2401276006021,37.9710572998143,39.9151744571486
"Clostridia",12958.3333418782,20984.7396628459,12958.3333418782,21489.3412940298,19793.7954575148,16765.5919843153,8258.09749352465,21225.2761741635,10449.0470702341,14442.9910505762,9748.63575068662,11565.5502500229,12021.654927826,12611.4085050137,12910.2791579897,11575.1296510155,12023.8882914998,11373.1173260542,11431.1624707664,23044.1192940099,55032.8637726711,7486.5591911217,10696.4783214089,10439.9221318241,11438.1598203144,9315.19359190791,6084.67579966143,4589.59071544985
"Gammaproteobacteria",91.9346226337623,90.9345767915321,82.7641803187559,127.06910931198,0,61.3205359359829,158.38456388116,95.1970295891409,90.8380466346102,104.061973509345,133.197160826967,187.064193279333,200.831877991721,76.6221957295578,245.537582235603,150.67167233328,94.804589214733,182.789078532174,196.501301900562,441.848895017889,443.667802620081,223.071979921529,834.652116518337,337.237169303828,966.988704793403,209.212311359267,222.614630051853,734.831818284884
