Microbe,818.W13,819.W13,819.W14,820.W13,821.W13,823.W13,824.W13,825.W13,826.W13,826.W14,827.W13,827.W14,828.W13,828.W14,829.W13,829.W14,830.W13,831.W13,832.W13,834.W13,834.W14,835.W13,836.W13,837.W13,838.W13,839.W13,840.W13,841.W13
Actinobacteria,54,5,496,0,0,24,16,5,0,434,0,344,18,634,0,329,21,54,88,0,178,3,22,0,0,0,0,32
Bacteroidetes,4913,2195,2235,2082,4322,2505,12734,4478,3700,401,1713,585,772,2557,3946,577,3373,1247,3833,194,389,6679,2042,10482,1616,4158,9118,3443
Firmicutes,29942,12258,18877,11883,23320,25257,12533,23238,9432,15591,22876,20034,14931,20133,17939,16903,16660,11038,19606,4861,25857,16962,9526,20196,5580,15632,17046,7427
Proteobacteria,504,215,76,228,306,201,203,392,62,43,137,52,0,22,301,52,136,77,248,91,172,485,719,643,426,339,601,1147
Tenericutes,794,326,440,627,253,341,188,662,291,279,786,1272,304,119,888,66,1061,722,664,63,113,157,62,554,105,264,891,598
Verrucomicrobia,30509,10348,8000,6000,33339,28595,10632,24020,1341,703,16150,3516,1448,1328,30598,5215,23151,4116,28911,1924,3432,48447,16180,22422,13059,15875,31388,21669
Bacteroidia,4913,2195,2235,2082,4322,2505,12734,4478,3700,401,1713,585,772,2557,3946,577,3373,1247,3804,194,389,6679,2042,10482,1616,4158,9118,3443
Bacilli,375,218,6332,0,217,111,94,23,89,1389,45,3828,453,3329,314,879,284,11,146,83,4089,518,56,227,215,49,102,61
Clostridia,29244,11912,12509,11883,22202,24351,11884,22804,8739,9923,21450,8794,13772,6015,15694,11594,15644,10687,18151,4746,21335,15908,9099,19534,5039,15094,16345,7014
Erysipelotrichia,323,125,36,0,901,795,555,411,604,4279,1381,7404,706,10789,1929,4428,732,283,1305,32,433,536,371,428,326,489,584,352
Gammaproteobacteria,473,199,76,226,289,192,191,392,62,43,137,52,0,22,301,52,136,77,248,91,172,474,710,631,426,339,598,1123
Mollicutes,794,326,440,627,253,341,188,662,291,279,786,1272,304,119,888,66,1061,722,664,63,113,157,62,554,105,264,891,598
Verrucomicrobiae,30509,10348,8000,6000,33339,28595,10632,24020,1341,703,16150,3516,1448,1328,30598,5215,23151,4116,28911,1924,3432,48447,16180,22422,13059,15875,31388,21669
Bacteroidales,4913,2195,2235,2082,4322,2505,12734,4478,3700,401,1713,585,772,2557,3946,577,3373,1247,3804,194,389,6679,2042,10482,1613,4158,9118,3443
Lactobacillales,375,218,2257,0,213,111,94,23,89,1389,45,3828,453,2810,314,739,284,11,146,83,3532,518,56,227,215,49,102,61
Clostridiales,29244,11912,12509,11883,22202,24351,11884,22802,8739,9923,21450,8794,13772,6015,15694,11594,15644,10687,18151,4746,21335,15908,9099,19534,5039,15094,16345,7014
Erysipelotrichales,323,125,36,0,901,795,555,411,604,4279,1381,7404,706,10789,1929,4428,732,283,1305,32,433,536,371,428,326,489,584,352
Betaproteobacteriales,473,199,76,226,289,188,191,392,62,0,137,52,0,0,301,11,136,77,248,91,130,474,710,624,426,339,598,1123
Mollicutes_RF39,794,270,440,627,253,320,188,662,107,140,336,1089,135,110,665,66,697,317,462,63,113,157,62,554,105,264,891,598
Verrucomicrobiales,30509,10348,8000,6000,33339,28595,10632,24020,1341,703,16150,3516,1448,1328,30598,5215,23151,4116,28911,1924,3432,48447,16180,22422,13059,15875,31388,21669
Bacteroidaceae,4292,1874,953,1855,3787,1931,1796,3244,264,80,1029,166,254,115,1852,124,1626,697,2206,194,257,3134,1566,1288,1273,1803,2745,2576
Muribaculaceae,621,321,1277,227,509,567,10938,1234,3431,314,659,419,518,2442,2094,445,1747,462,1598,0,130,3522,446,9194,331,2351,6276,838
Lactobacillaceae,235,136,78,0,105,0,2,23,49,1253,0,3639,368,2618,243,250,84,4,82,56,859,275,0,172,64,49,102,17
Streptococcaceae,140,82,2098,0,108,111,80,0,40,136,45,160,85,158,71,482,200,7,64,27,2673,227,56,55,151,0,0,44
Christensenellaceae,25,6,15,12,37,26,24,50,0,10,10,26,0,0,10,5,28,16,23,0,58,0,15,14,39,37,66,40
Clostridiaceae,92,0,0,0,0,118,116,0,127,569,55,959,374,311,255,1371,324,497,170,186,124,139,0,126,0,0,129,69
Clostridiales_vadinBB60,129,69,14,32,41,35,12,28,113,171,505,359,284,7,488,31,559,451,386,0,0,0,5,0,14,20,11,0
Family XIII,250,87,228,199,506,425,369,268,100,131,135,106,127,114,159,148,173,77,152,120,243,199,225,267,139,292,289,190
Lachnospiraceae,15514,7850,7220,7320,10777,12967,6281,11190,4688,5389,9867,4406,7353,3034,6759,5063,6427,5283,8085,1679,12982,7709,5116,8863,2469,6791,7366,2808
Peptococcaceae,287,78,32,412,2472,1258,1564,1632,230,130,722,124,290,184,1037,417,1549,423,761,432,501,1360,815,2554,583,1419,1464,880
Peptostreptococcaceae,19,316,0,0,143,545,79,191,0,138,71,122,92,186,333,895,31,106,67,0,0,0,0,0,45,155,181,181
Ruminococcaceae,12756,3482,4718,3866,7827,8969,3329,9331,3457,3385,10011,2619,5252,2144,6568,3629,6456,3832,8367,2329,7427,6427,2835,7607,1638,6377,6716,2819
Erysipelotrichaceae,323,125,36,0,901,795,555,411,604,4279,1381,7404,706,10789,1929,4428,732,283,1305,32,433,536,371,428,326,489,584,352
Burkholderiaceae,473,199,76,226,289,188,191,392,62,0,137,52,0,0,301,0,136,77,248,91,130,474,710,624,426,339,598,1123
Akkermansiaceae,30509,10348,8000,6000,33339,28595,10632,24020,1341,703,16150,3516,1448,1328,30598,5215,23151,4116,28911,1924,3432,48447,16180,22422,13059,15875,31388,21669
Bacteroides,4292,1874,953,1855,3787,1931,1796,3244,264,80,1029,166,254,115,1852,124,1626,697,2206,194,257,3134,1566,1288,1273,1803,2745,2576
Lactobacillus,235,136,78,0,105,0,2,23,49,1253,0,3639,368,2618,243,250,84,4,82,56,859,275,0,172,64,49,102,17
Lactococcus,140,82,2098,0,108,111,80,0,40,128,45,160,85,158,71,482,200,0,64,27,2663,227,56,55,151,0,0,44
Clostridium_sensu_stricto_1,92,0,0,0,0,118,116,0,127,569,55,959,374,307,255,1371,324,497,170,186,124,139,0,126,0,0,129,69
Defluviitaleaceae_UCG-011,168,24,282,0,388,0,110,109,0,0,0,31,0,22,55,28,46,0,49,0,0,54,88,103,112,0,116,27
Eubacterium_brachy,16,0,6,0,20,14,4,0,39,12,80,7,27,19,20,22,15,7,38,0,26,0,3,14,2,16,0,0
Eubacterium_nodatum,226,59,203,136,392,371,329,199,27,40,0,54,56,71,139,95,114,55,92,120,199,153,175,224,137,246,287,177
Acetatifactor,697,222,186,555,188,242,0,182,13,208,141,111,203,0,168,0,148,29,158,0,26,235,27,99,32,33,0,22
Blautia,2993,3131,1425,1803,1729,2723,1635,2524,883,958,1779,1028,1699,636,628,804,738,369,1279,286,3494,1388,1440,2171,623,1475,1746,863
GCA-900066575,675,449,258,419,448,318,190,400,119,163,485,76,196,195,235,189,181,53,283,48,395,151,191,303,133,168,195,100
Lachnoclostridium,312,0,68,82,152,254,78,153,199,131,194,38,125,164,125,316,141,59,317,0,364,164,0,104,0,85,83,22
Lachnospiraceae_FCS020,79,43,46,65,21,40,14,42,104,33,65,49,132,34,23,38,0,125,22,0,27,19,0,32,0,13,0,4
Lachnospiraceae_NK4A136,163,149,0,93,956,326,794,99,194,307,629,273,672,93,820,184,442,169,225,39,249,396,361,313,48,446,428,31
Lachnospiraceae_UCG-006,125,0,129,61,63,136,0,137,0,82,22,42,41,28,25,46,0,20,27,0,473,130,39,113,30,79,93,24
Tyzzerella,718,316,239,284,618,564,0,446,145,0,515,0,323,0,146,115,126,126,148,60,546,189,178,414,64,459,220,76
Romboutsia,19,316,0,0,143,545,79,191,0,138,71,122,92,186,328,880,31,106,67,0,0,0,0,0,45,155,181,181
Anaerotruncus,154,0,0,16,80,119,107,56,124,67,231,14,124,0,67,14,120,120,268,0,79,91,159,107,51,163,175,0
Intestinimonas,422,239,257,181,157,286,0,390,0,81,318,79,265,55,201,0,32,0,2,129,281,297,0,0,0,109,32,115
Oscillibacter,1560,426,254,331,727,683,305,1464,532,485,1517,222,522,136,502,303,590,515,1129,2,694,586,218,1049,163,650,776,264
Ruminiclostridium,2773,503,678,904,1372,1721,229,1317,551,885,1864,329,1123,221,1485,551,608,571,1605,477,1174,1184,149,1157,166,1318,731,308
Ruminiclostridium_5,236,51,166,130,349,255,80,248,32,265,180,163,115,164,73,196,185,57,260,84,271,270,89,198,29,89,115,23
Ruminiclostridium_9,2065,647,438,283,888,866,148,776,316,168,834,42,443,87,742,197,500,366,611,217,685,819,111,1009,136,586,688,261
Ruminococcaceae_UCG-009,93,0,0,35,133,0,29,101,87,29,121,96,110,77,60,68,95,90,137,26,130,38,8,74,0,29,35,32
Ruminococcaceae_UCG-010,129,43,92,196,149,106,159,166,93,0,123,0,92,73,89,56,128,0,15,103,99,104,62,144,0,183,88,182
Ruminococcaceae_UCG-014,679,200,534,104,1044,1331,732,1036,151,235,642,624,282,286,957,369,1547,328,803,371,535,997,558,660,99,650,1381,531
Dubosiella,207,98,3,0,329,0,13,187,531,4279,1232,7377,681,10686,1565,4113,218,90,1108,0,10,13,66,117,205,158,247,83
Parasutterella,473,199,76,226,289,188,191,392,62,0,137,52,0,0,301,0,136,77,248,91,130,474,710,624,426,339,598,1123
Akkermansia,30509,10348,8000,6000,33339,28595,10632,24020,1341,703,16150,3516,1448,1328,30598,5215,23151,4116,28911,1924,3432,48447,16180,22422,13059,15875,31388,21669
Clostridium_sp.Culture-41,73,0,103,36,96,40,40,69,17,79,52,0,39,36,0,35,51,0,33,0,16,36,0,75,0,0,18,11
Dubosiella_newyorkensis,207,98,3,0,329,0,13,187,531,4279,1232,7377,681,10686,1565,4113,218,90,1108,0,10,13,66,117,205,158,247,83
