Microbe,Domain,Phylum,Class,Order,Family,Genus,Species
Actinobacteria,Bacteria,Actinobacteria,NA,NA,NA,NA,NA
Bacteroidetes,Bacteria,Bacteroidetes,NA,NA,NA,NA,NA
Firmicutes,Bacteria,Firmicutes,NA,NA,NA,NA,NA
Proteobacteria,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
Tenericutes,Bacteria,Tenericutes,NA,NA,NA,NA,NA
Verrucomicrobia,Bacteria,Verrucomicrobia,NA,NA,NA,NA,NA
Bacteroidia,Bacteria,Bacteroidetes,Bacteroidia,NA,NA,NA,NA
Bacilli,Bacteria,Firmicutes,Bacilli,NA,NA,NA,NA
Clostridia,Bacteria,Firmicutes,Clostridia,NA,NA,NA,NA
Erysipelotrichi,Bacteria,Firmicutes,Erysipelotrichi,NA,NA,NA,NA
Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Mollicutes,Bacteria,Tenericutes,Mollicutes,NA,NA,NA,NA
Verrucomicrobiae,Bacteria,Verrucomicrobia,Verrucomicrobiae,NA,NA,NA,NA
Bacteroidales,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,NA,NA,NA
Lactobacillales,Bacteria,Firmicutes,Bacilli,Lactobacillales,NA,NA,NA
Clostridiales,Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
Erysipelotrichales,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,NA,NA,NA
Betaproteobacteriales,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteria,NA,NA,NA
Mollicutes_RF39,Bacteria,Tenericutes,Mollicutes,RF39,NA,NA,NA
Verrucomicrobiales,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,NA,NA,NA
Bacteroidaceae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,NA,NA
Muribaculaceae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
Lactobacillaceae,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,NA,NA
Streptococcaceae,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,NA,NA
Christensenellaceae,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,NA,NA
Clostridiaceae,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,NA,NA
Clostridiales_vadinBB60,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60,NA,NA
Family XIII,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XIII,NA,NA
Lachnospiraceae,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
Peptococcaceae,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,NA,NA
Peptostreptococcaceae,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,NA,NA
Ruminococcaceae,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
Erysipelotrichaceae,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,NA,NA
Burkholderiaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA,NA
Akkermansiaceae,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,NA,NA
